inning,over,total_runs,player_dismissed,innings_wickets,innings_score,score_target,remaining_target,run_rate,required_run_rate,runrate_diff,is_batting_team,is_toss_winner,team1,team2
1,1,2,0,0,2,-1,-1,2,-1,-1,1,1,GT,CSK
1,2,11,0,0,13,-1,-1,6.5,-1,-1,1,1,GT,CSK
1,3,1,1,1,14,-1,-1,4.666666667,-1,-1,1,1,GT,CSK
1,4,15,0,1,29,-1,-1,7.25,-1,-1,1,1,GT,CSK
1,5,17,0,1,46,-1,-1,9.2,-1,-1,1,1,GT,CSK
1,6,5,1,2,51,-1,-1,8.5,-1,-1,1,1,GT,CSK
1,7,13,0,2,64,-1,-1,9.142857143,-1,-1,1,1,GT,CSK
1,8,8,1,3,72,-1,-1,9,-1,-1,1,1,GT,CSK
1,9,18,0,3,90,-1,-1,10,-1,-1,1,1,GT,CSK
1,10,3,0,3,93,-1,-1,9.3,-1,-1,1,1,GT,CSK
1,11,7,0,3,100,-1,-1,9.090909091,-1,-1,1,1,GT,CSK
1,12,14,0,3,114,-1,-1,9.5,-1,-1,1,1,GT,CSK
1,13,7,1,4,121,-1,-1,9.307692308,-1,-1,1,1,GT,CSK
1,14,4,0,4,125,-1,-1,8.928571429,-1,-1,1,1,GT,CSK
1,15,8,0,4,133,-1,-1,8.866666667,-1,-1,1,1,GT,CSK
1,16,7,0,4,140,-1,-1,8.75,-1,-1,1,1,GT,CSK
1,17,11,0,4,151,-1,-1,8.882352941,-1,-1,1,1,GT,CSK
1,18,4,2,6,155,-1,-1,8.611111111,-1,-1,1,1,GT,CSK
1,19,10,1,7,165,-1,-1,8.684210526,-1,-1,1,1,GT,CSK
1,20,13,0,7,178,-1,-1,8.9,-1,-1,1,1,GT,CSK
2,1,3,0,0,3,179,176,3,9.263157895,-6.263157895,0,1,GT,CSK
2,2,15,0,0,18,179,161,9,8.944444444,0.055555556,0,1,GT,CSK
2,3,11,0,0,29,179,150,9.666666667,8.823529412,0.843137255,0,1,GT,CSK
2,4,12,1,1,41,179,138,10.25,8.625,1.625,0,1,GT,CSK
2,5,15,0,1,56,179,123,11.2,8.2,3,0,1,GT,CSK
2,6,9,0,1,65,179,114,10.83333333,8.142857143,2.69047619,0,1,GT,CSK
2,7,6,0,1,71,179,108,10.14285714,8.307692308,1.835164835,0,1,GT,CSK
2,8,11,0,1,82,179,97,10.25,8.083333333,2.166666667,0,1,GT,CSK
2,9,7,0,1,89,179,90,9.888888889,8.181818182,1.707070707,0,1,GT,CSK
2,10,4,1,2,93,179,86,9.3,8.6,0.7,0,1,GT,CSK
2,11,13,0,2,106,179,73,9.636363636,8.111111111,1.525252525,0,1,GT,CSK
2,12,5,0,2,111,179,68,9.25,8.5,0.75,0,1,GT,CSK
2,13,3,1,3,114,179,65,8.769230769,9.285714286,-0.516483516,0,1,GT,CSK
2,14,13,0,3,127,179,52,9.071428571,8.666666667,0.404761905,0,1,GT,CSK
2,15,11,1,4,138,179,41,9.2,8.2,1,0,1,GT,CSK
2,16,7,0,4,145,179,34,9.0625,8.5,0.5625,0,1,GT,CSK
2,17,4,0,4,149,179,30,8.764705882,10,-1.235294118,0,1,GT,CSK
2,18,7,1,5,156,179,23,8.666666667,11.5,-2.833333333,0,1,GT,CSK
2,19,15,0,5,171,179,8,9,8,1,0,1,GT,CSK
